Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.22,-.17,-.17,***,***,-.11,-.16,-.20
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.04,-.15,-.22,-.19,-.07,-.09,-.10,-.17,.05,-.08,-.19
1882,.16,.14,.05,-.17,-.15,-.24,-.17,-.08,-.14,-.24,-.16,-.36,-.11,-.09,.08,-.09,-.16,-.18
1883,-.29,-.37,-.12,-.18,-.18,-.08,-.07,-.14,-.21,-.11,-.23,-.11,-.17,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.07,-.36,-.40,-.34,-.36,-.30,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.10,-.37,-.32,-.29
1885,-.59,-.34,-.27,-.42,-.46,-.44,-.34,-.32,-.28,-.24,-.24,-.10,-.34,-.35,-.41,-.38,-.37,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.28,-.25,-.32,-.30,-.35,-.32,-.28,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.33,-.36,-.36,-.51,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.02,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.24,-.25,-.34,-.29,-.11,-.09,.01,.05,-.13,-.27
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.36,-.25,-.43,-.32,-.35,-.35,-.38,-.36,-.31,-.35
1891,-.33,-.46,-.18,-.27,-.17,-.21,-.18,-.17,-.15,-.22,-.31,-.04,-.22,-.25,-.37,-.21,-.19,-.23
1892,-.29,-.11,-.40,-.34,-.24,-.22,-.32,-.28,-.17,-.14,-.42,-.38,-.28,-.25,-.15,-.33,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.34,-.25,-.14,-.26,-.22,-.18,-.19,-.32,-.31,-.32,-.58,-.28,-.22,-.20
1894,-.52,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.30,-.31,-.38,-.33,-.30,-.25
1895,-.41,-.43,-.32,-.22,-.28,-.21,-.17,-.17,-.12,-.11,-.17,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.06,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.18,-.21,-.11,-.09,-.12,-.05,-.08,-.13
1898,-.02,-.30,-.51,-.31,-.31,-.19,-.23,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.23,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.09,-.05,-.04,.12,-.26,-.18,-.17,-.26,-.26,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.05,.09,-.07,-.07,-.08,-.10,-.23,-.06,-.11,-.01
1901,-.22,-.11,.06,-.03,-.15,-.12,-.15,-.21,-.22,-.29,-.16,-.27,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.16,-.09,-.27,-.28,-.33,-.32,-.28,-.30,-.29,-.30,-.36,-.42,-.28,-.27,-.17,-.29,-.30,-.32
1903,-.24,-.06,-.23,-.41,-.40,-.43,-.35,-.45,-.49,-.46,-.41,-.50,-.37,-.36,-.24,-.35,-.41,-.46
1904,-.62,-.58,-.51,-.50,-.52,-.48,-.51,-.49,-.55,-.39,-.17,-.33,-.47,-.49,-.57,-.51,-.49,-.37
1905,-.35,-.59,-.21,-.34,-.29,-.28,-.27,-.21,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.04,-.26,-.20,-.23,-.20,-.28,-.20,-.38,-.14,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.42,-.51,-.27,-.37,-.47,-.42,-.35,-.34,-.34,-.22,-.47,-.47,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.44,-.52,-.49,-.43,-.42,-.41,-.45,-.40,-.44
1909,-.72,-.45,-.54,-.59,-.54,-.52,-.45,-.34,-.38,-.40,-.32,-.56,-.48,-.48,-.56,-.56,-.44,-.37
1910,-.42,-.40,-.50,-.43,-.34,-.39,-.34,-.37,-.39,-.41,-.57,-.67,-.44,-.43,-.46,-.42,-.37,-.45
1911,-.62,-.58,-.61,-.54,-.52,-.51,-.42,-.44,-.41,-.27,-.22,-.22,-.45,-.48,-.62,-.56,-.46,-.30
1912,-.27,-.16,-.39,-.18,-.22,-.24,-.43,-.55,-.57,-.58,-.40,-.43,-.37,-.35,-.21,-.26,-.41,-.52
1913,-.41,-.45,-.43,-.40,-.44,-.46,-.37,-.33,-.35,-.32,-.20,-.02,-.35,-.38,-.43,-.42,-.39,-.29
1914,.04,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.16,-.03,-.14,-.03,-.15,-.15,-.02,-.25,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.22,-.13,-.22,-.20,-.24,-.13,-.21,-.14,-.12,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.35,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.56,-.62,-.63,-.54,-.55,-.43,-.25,-.23,-.22,-.44,-.33,-.68,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.48,-.34,-.25,-.43,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.30,-.33,-.50,-.37,-.33,-.11
1919,-.20,-.23,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.42,-.42,-.28,-.26,-.24,-.20,-.33,-.29
1920,-.24,-.27,-.12,-.24,-.27,-.36,-.30,-.26,-.21,-.26,-.27,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.17,-.22,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.14,-.17,-.19,-.21,-.23,-.27,-.23,-.12
1922,-.33,-.44,-.14,-.23,-.33,-.30,-.27,-.33,-.35,-.32,-.14,-.19,-.28,-.28,-.32,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.31,-.34,-.31,-.13,-.02,-.03,-.26,-.28,-.28,-.36,-.31,-.15
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.29,-.36,-.32,-.35,-.20,-.43,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.26,-.29,-.33,-.27,-.21,-.20,-.17,.06,.06,-.22,-.26,-.40,-.27,-.27,-.10
1926,.21,.03,.12,-.13,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.11
1927,-.27,-.17,-.39,-.30,-.26,-.28,-.19,-.24,-.12,-.01,-.06,-.33,-.22,-.21,-.24,-.32,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.20,-.23,-.21,-.19,-.09,-.16,-.20,-.21,-.14,-.28,-.27,-.17
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.37,-.33,-.25,-.15,-.12,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.30,-.26,-.10,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.20,-.10,-.23,-.19,-.08,-.03,-.04,-.06,.06,-.06,-.05,-.09,-.09,-.12,-.18,-.05,-.02
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.14,-.25,-.15
